ARG	ARG_length	Counts	ARO_term	Percentage_Identity	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Percentage_Coverage	Classification
Enterobacter_himalayensis_79_length_111160_cov_7.358940:_Escherichia_coli_AcrABTolC_with_MarR_mutations_conferring_resistance_to_ciprofloxacin_and_tetracycline	435	87	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	90.28	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Enterobacter himalayensis
Enterobacter_himalayensis_608_length_19339_cov_12.105943:_Escherichia_coli_soxS_with_mutation_conferring_antibiotic_resistance	327	218	Escherichia coli soxS with mutation conferring antibiotic resistance	90.65	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux; reduced permeability to antibiotic	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	100.93	Enterobacter himalayensis
Enterococcus_B_faecium_3_length_266942_cov_15.032129:_efrA	1731	669	efrA	82.81	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.17	Enterococcus B faecium
Enterococcus_B_faecium_5_length_173740_cov_15.481300:_efmA	1287	407	efmA	99.77	macrolide antibiotic; fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Enterococcus B faecium
Enterococcus_B_faecium_6_length_164594_cov_14.581770:_vanY_gene_in_vanB_cluster	861	336	vanY gene in vanB cluster	34.9	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	106.72	Enterococcus B faecium
Enterococcus_B_faecium_10_length_111055_cov_15.099551:_AAC6Ii	549	209	AAC(6')-Ii	99.45	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')	100.00	Enterococcus B faecium
Enterococcus_B_faecium_13_length_59971_cov_15.981300:_tetO	1920	589	tet(O)	98.9	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	Enterococcus B faecium
Enterococcus_B_faecium_5_length_173740_cov_15.481300:_eatAv	1503	533	eatAv	98.6	pleuromutilin antibiotic	antibiotic target protection	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	100.00	Enterococcus B faecium
Enterococcus_faecalis_1_length_445970_cov_24.916727:_lsaA	1497	566	lsaA	98.19	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic; pleuromutilin antibiotic	antibiotic target protection	lsa-type ABC-F protein	100.00	Enterococcus faecalis
Enterococcus_faecalis_2_length_374620_cov_22.359454:_dfrE	495	198	dfrE	98.17	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	100.00	Enterococcus faecalis
Enterococcus_faecalis_3_length_337008_cov_26.790755:_efrA	1719	878	efrA	99.3	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	99.48	Enterococcus faecalis
Enterococcus_faecalis_5_length_240212_cov_25.531805:_vanT_gene_in_vanG_cluster	1116	613	vanT gene in vanG cluster	34.24	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.11	Enterococcus faecalis
Enterococcus_faecalis_6_length_214818_cov_23.748306:_emeA	1155	414	emeA	97.71	disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	97.71	Enterococcus faecalis
Enterococcus_faecalis_6_length_214818_cov_23.748306:_tetS	1941	1382	tet(S)	99.84	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.78	Enterococcus faecalis
Escherichia_coli_1_length_280352_cov_49.690133:_TolC	1482	2184	TolC	99.8	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	99.60	Escherichia coli
Escherichia_coli_1_length_280352_cov_49.690133:_bacA	822	1431	bacA	99.63	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	100.00	Escherichia coli
Escherichia_coli_2_length_251814_cov_38.484148:_marA	384	465	marA	99.21	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	100.00	Escherichia coli
Escherichia_coli_2_length_251814_cov_38.484148:_Klebsiella_pneumoniae_KpnF	330	376	Klebsiella pneumoniae KpnF	84.4	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_2_length_251814_cov_38.484148:_Klebsiella_pneumoniae_KpnE	366	428	Klebsiella pneumoniae KpnE	82.2	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.83	Escherichia coli
Escherichia_coli_3_length_133827_cov_39.947454:_HNS	414	554	H-NS	100.0	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_4_length_117111_cov_42.549934:_mdtH	1209	1599	mdtH	100.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_4_length_117111_cov_42.549934:_mdtG	1227	1349	mdtG	99.75	phosphonic acid antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_6_length_111828_cov_44.873155:_msbA	1749	2359	msbA	99.66	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_8_length_100885_cov_44.815193:_YojI	1644	2272	YojI	99.09	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_12_length_83560_cov_50.621432:_vanG	1095	1543	vanG	39.22	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	104.30	Escherichia coli
Escherichia_coli_17_length_73289_cov_57.824373:_mdtN	1032	1603	mdtN	98.83	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_17_length_73289_cov_57.824373:_mdtO	2052	3350	mdtO	98.39	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_17_length_73289_cov_57.824373:_mdtP	1467	2625	mdtP	98.16	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_18_length_72646_cov_48.061555:_Escherichia_coli_acrA	1194	1792	Escherichia coli acrA	99.75	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_18_length_72646_cov_48.061555:_acrB	2994	5668	acrB	92.18	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	95.04	Escherichia coli
Escherichia_coli_19_length_70872_cov_55.740038:_CMY132	1005	1648	CMY-132	77.84	cephamycin	antibiotic inactivation	CMY beta-lactamase	87.66	Escherichia coli
Escherichia_coli_20_length_70827_cov_61.887221:_mdtM	1233	1753	mdtM	97.07	fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_23_length_66012_cov_48.431288:_acrD	3114	4980	acrD	99.9	aminoglycoside antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_25_length_64974_cov_44.296855:_Escherichia_coli_mdfA	1233	1564	Escherichia coli mdfA	97.07	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_28_length_57710_cov_58.472229:_gadX	825	1344	gadX	93.07	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_28_length_57710_cov_58.472229:_gadW	729	1307	gadW	100.0	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_28_length_57710_cov_58.472229:_mdtF	3114	5511	mdtF	99.52	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_28_length_57710_cov_58.472229:_mdtE	1158	2100	mdtE	99.74	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_31_length_52950_cov_58.465398:_CRP	633	1081	CRP	99.52	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_36_length_47611_cov_44.054908:_PmrF	969	1325	PmrF	99.07	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	Escherichia coli
Escherichia_coli_41_length_41279_cov_61.136207:_cpxA	1374	3005	cpxA	100.0	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_45_length_38381_cov_35.986033:_mdtA	1248	1646	mdtA	98.55	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_45_length_38381_cov_35.986033:_mdtB	3123	4077	mdtB	99.81	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_45_length_38381_cov_35.986033:_mdtC	3078	4256	mdtC	98.73	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_45_length_38381_cov_35.986033:_baeS	1404	1798	baeS	95.93	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_45_length_38381_cov_35.986033:_baeR	723	967	baeR	100.0	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_46_length_38156_cov_31.822606:_ugd	1167	1210	ugd	99.23	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	100.00	Escherichia coli
Escherichia_coli_57_length_27354_cov_53.690765:_AcrS	663	1130	AcrS	98.64	fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_57_length_27354_cov_53.690765:_AcrE	1158	1763	AcrE	99.48	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_59_length_27081_cov_45.217634:_kdpE	678	925	kdpE	99.55	aminoglycoside antibiotic	antibiotic efflux	kdpDE	100.00	Escherichia coli
Escherichia_coli_65_length_23958_cov_40.004732:_Escherichia_coli_emrE	333	471	Escherichia coli emrE	98.18	macrolide antibiotic	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_69_length_19147_cov_48.582014:_emrB	1539	2653	emrB	99.8	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_69_length_19147_cov_48.582014:_emrA	1173	1843	emrA	99.74	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_69_length_19147_cov_48.582014:_emrR	531	924	emrR	100.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_10_length_92876_cov_51.784039:_Haemophilus_influenzae_PBP3_conferring_resistance_to_betalactam_antibiotics	1767	2968	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	53.29	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	96.39	Escherichia coli
Escherichia_coli_27_length_59394_cov_48.073925:_Escherichia_coli_PtsI_with_mutation_conferring_resistance_to_fosfomycin	1728	2692	Escherichia coli PtsI with mutation conferring resistance to fosfomycin	99.65	phosphonic acid antibiotic	antibiotic target alteration	antibiotic-resistant ptsI phosphotransferase	100.00	Escherichia coli
Escherichia_coli_36_length_47611_cov_44.054908:_Escherichia_coli_GlpT_with_mutation_conferring_resistance_to_fosfomycin	1359	1788	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	99.78	phosphonic acid antibiotic	antibiotic target alteration	antibiotic-resistant GlpT	100.00	Escherichia coli
Escherichia_coli_38_length_42266_cov_62.208016:_Escherichia_coli_EFTu_mutants_conferring_resistance_to_Pulvomycin	1185	5739	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	99.49	elfamycin antibiotic	antibiotic target alteration	elfamycin resistant EF-Tu	96.33	Escherichia coli
Escherichia_coli_39_length_41899_cov_58.980369:_Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin	1392	3224	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	99.78	phosphonic acid antibiotic	antibiotic target alteration	antibiotic-resistant UhpT	100.00	Escherichia coli
Escherichia_coli_2_length_251814_cov_38.484148:_Escherichia_coli_AcrABTolC_with_MarR_mutations_conferring_resistance_to_ciprofloxacin_and_tetracycline	435	614	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	98.61	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_17_length_73289_cov_57.824373:_Escherichia_coli_soxR_with_mutation_conferring_antibiotic_resistance	465	770	Escherichia coli soxR with mutation conferring antibiotic resistance	99.35	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	Escherichia coli
Escherichia_coli_17_length_73289_cov_57.824373:_Escherichia_coli_soxS_with_mutation_conferring_antibiotic_resistance	324	655	Escherichia coli soxS with mutation conferring antibiotic resistance	100.0	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux; reduced permeability to antibiotic	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	100.00	Escherichia coli
